Table S3: Gene set used for Figure 1C, effector gene GSEA. ;;;;;
;;;;;
NAME;PROBE;RANK IN GENE LIST;RANK METRIC SCORE;RUNNING ES;CORE ENRICHMENT
row_0;RBM47;7;0,303581476211547;0,036805205;Yes
row_1;EPAS1;30;0,248808145523071;0,06596747;Yes
row_2;H1F0;68;0,201966762542724;0,08845972;Yes
row_3;NUF2;101;0,185207247734069;0,10920446;Yes
row_4;CA5B;174;0,161225110292434;0,12454213;Yes
row_5;DHFR;176;0,160905420780181;0,14421682;Yes
row_6;ZDHHC2;182;0,15881335735321;0,16338834;Yes
row_7;ANXA4;319;0,135020300745964;0,17156701;Yes
row_8;ESCO2;322;0,134626522660255;0,18795674;Yes
row_9;CCDC109B;339;0,132784575223922;0,20325762;Yes
row_10;DNA2;372;0,128127858042716;0,21700113;Yes
row_11;CD80;385;0,127167925238609;0,23185964;Yes
row_12;SCPEP1;505;0,116504326462745;0,238815;Yes
row_13;DOCK5;509;0,116190329194068;0,25288174;Yes
row_14;DSTN;515;0,115256734192371;0,2667107;Yes
row_15;MYO5A;516;0,115167461335659;0,2808369;Yes
row_16;PTGR1;597;0,108858451247215;0,2892583;Yes
row_17;CCNF;816;0,0967713594436645;0,28769118;Yes
row_18;CKAP2;964;0,0897592604160308;0,28964022;Yes
row_19;ITGAX;1056;0,08539579808712;0,29450572;Yes
row_20;KLF11;1071;0,0846984684467315;0,30403173;Yes
row_21;DIAPH3;1124;0,0824509039521217;0,31093985;Yes
row_22;KIF20A;1135;0,0822428166866302;0,3204112;Yes
row_23;SLC9A7;1144;0,081912986934185;0,32996538;Yes
row_24;SLC43A3;1177;0,0809398517012596;0,3379209;Yes
row_25;GBP3;1185;0,0804044380784034;0,3473517;Yes
row_26;HIST4H4;1422;0,0727431923151016;0,34172785;Yes
row_27;AHNAK;1451;0,0716411247849464;0,34878936;Yes
row_28;FANCI;1509;0,0697983354330062;0,35383737;Yes
row_29;ECT2;1579;0,067624844610691;0,35787913;Yes
row_30;CASP1;1590;0,0672944411635398;0,36551696;Yes
row_31;ASPM;1645;0,0657454654574394;0,37025276;Yes
row_32;PBK;1708;0,0641025975346565;0,37429395;Yes
row_33;ICOS;1827;0,0615841597318649;0,37457457;Yes
row_34;LMNB1;1927;0,0595646798610687;0,37577856;Yes
row_35;ARHGAP19;1934;0,0594106242060661;0,38269594;Yes
