#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
241900	6446	11140	112344	116312	RP1-188K17.1	-	SGK1	CDC37	SGK	P50CDC37	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.42	-	Exogenous expression of bait	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q16543	A0A024R7B7	NP_008996	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
241926	6446	4057	112344	110235	RP1-188K17.1	-	SGK1	LTF	SGK	GIG12|HEL110|HLF2|LF	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.416	-	Exogenous expression of bait	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	P02788	V9HWI4	NP_002334|NP_001186078	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
241988	6446	7284	112344	113135	RP1-188K17.1	-	SGK1	TUFM	SGK	COXPD4|EF-TuMT|EFTU|P43	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.407	-	Exogenous expression of bait	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	P49411	-	NP_003312|NP_001352289	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
242132	958	6446	107396	112344	-	RP1-188K17.1	CD40	SGK1	Bp50|CDW40|TNFRSF5|p50	SGK	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.389	-	Exogenous expression of bait	-	BIOGRID	P25942	-	NP_001241|NP_690593|NP_001289682	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
242894	6446	7415	112344	113258	RP1-188K17.1	-	SGK1	VCP	SGK	ALS14|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.332	-	Exogenous expression of bait	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	P55072	Q96IF9|V9HW80	NP_009057|NP_001341857|NP_001341856	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
243031	6446	3493	112344	109714	RP1-188K17.1	-	SGK1	IGHA1	SGK	IgA1	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.322	-	Exogenous expression of bait	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
243111	6446	3376	112344	109605	RP1-188K17.1	RP11-62C3.1	SGK1	IARS	SGK	IARS1|ILERS|ILRS|IRS|PRO0785	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.315	-	Exogenous expression of bait	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	P41252	Q6P0M4|Q7L4K8	NP_001365503|NP_001365511|NP_001365501|NP_001365513|NP_001365514|NP_001365506|NP_001365505|NP_001365504|NP_002152|NP_001365508|NP_001365512|NP_001361228|NP_001361229|NP_001361230|NP_001365500|NP_001365498|NP_001365502|NP_001365507|NP_038203|NP_001365509|NP_001365515	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
243169	6446	5036	112344	111075	RP1-188K17.1	-	SGK1	PA2G4	SGK	EBP1|HG4-1|p38-2G4	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.31	-	Exogenous expression of bait	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q9UQ80	A0A024RB85	NP_006182	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
243252	6446	5284	112344	111302	RP1-188K17.1	-	SGK1	PIGR	SGK	-	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.303	-	Exogenous expression of bait	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	P01833	-	NP_002635	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
245863	2175	6446	108472	112344	-	RP1-188K17.1	FANCA	SGK1	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	SGK	Two-hybrid	physical	Reuter TY (2003)	PUBMED:14499622	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15360	Q86U55	NP_000126|NP_001018122|NP_001273096	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
258923	4734	6446	110811	112344	PIG53	RP1-188K17.1	NEDD4	SGK1	NEDD4-1|RPF1	SGK	Reconstituted Complex	physical	Asher C (2003)	PUBMED:12729930	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P46934	-	NP_006145|NP_001271267|NP_001316141|NP_001271268|NP_001271269|NP_940682	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259891	3838	6446	110036	112344	-	RP1-188K17.1	KPNA2	SGK1	IPOA1|QIP2|RCH1|SRP1alpha	SGK	Reconstituted Complex	physical	Maiyar AC (2003)	PUBMED:12631736	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P52292	Q7Z726	NP_001307540|NP_002257	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259892	6446	3838	112344	110036	RP1-188K17.1	-	SGK1	KPNA2	SGK	IPOA1|QIP2|RCH1|SRP1alpha	Affinity Capture-Western	physical	Maiyar AC (2003)	PUBMED:12631736	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	P52292	Q7Z726	NP_001307540|NP_002257	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259893	6446	3838	112344	110036	RP1-188K17.1	-	SGK1	KPNA2	SGK	IPOA1|QIP2|RCH1|SRP1alpha	Two-hybrid	physical	Maiyar AC (2003)	PUBMED:12631736	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	P52292	Q7Z726	NP_001307540|NP_002257	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259937	6446	10645	112344	115889	RP1-188K17.1	-	SGK1	CAMKK2	SGK	CAMKK|CAMKKB	Affinity Capture-Western	physical	Imai S (2003)	PUBMED:12628440	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q96RR4	A0A024RBQ0|A0A024RBQ3|A0A024RBP8|A0A024RBP6	NP_001257415|NP_001257414|NP_705720|NP_006540|NP_757363|NP_757364|NP_757365|NP_705719|NP_757380	-	-	-	-	-	-	Homo sapiens	Homo sapiens
